p cnf 91 2366
-34 -49 -63 -76 -37 0
-1 -18 -34 -52 -7 0
-1 -18 -35 -65 -7 0
-1 -19 -49 -65 -7 0
-2 -34 -49 -65 -7 0
-18 -34 -49 -65 -23 0
-1 -18 -36 -77 -7 0
-1 -19 -50 -77 -7 0
-2 -34 -50 -77 -7 0
-18 -34 -50 -77 -23 0
-1 -20 -63 -77 -7 0
-2 -35 -63 -77 -7 0
-18 -35 -63 -77 -23 0
-3 -49 -63 -77 -7 0
-19 -49 -63 -77 -23 0
-34 -49 -63 -77 -38 0
-1 -18 -37 -88 -7 0
-1 -19 -51 -88 -7 0
-2 -34 -51 -88 -7 0
-18 -34 -51 -88 -23 0
-1 -20 -64 -88 -7 0
-2 -35 -64 -88 -7 0
-18 -35 -64 -88 -23 0
-3 -49 -64 -88 -7 0
-19 -49 -64 -88 -23 0
-34 -49 -64 -88 -38 0
-1 -21 -76 -88 -7 0
-2 -36 -76 -88 -7 0
-18 -36 -76 -88 -23 0
-3 -50 -76 -88 -7 0
-19 -50 -76 -88 -23 0
-34 -50 -76 -88 -38 0
-4 -63 -76 -88 -7 0
-20 -63 -76 -88 -23 0
-35 -63 -76 -88 -38 0
-49 -63 -76 -88 -52 0
-1 -18 -34 -53 -8 0
-1 -18 -35 -66 -8 0
-1 -19 -49 -66 -8 0
-2 -34 -49 -66 -8 0
-18 -34 -49 -66 -24 0
-1 -18 -36 -78 -8 0
-1 -19 -50 -78 -8 0
-2 -34 -50 -78 -8 0
-18 -34 -50 -78 -24 0
-1 -20 -63 -78 -8 0
-2 -35 -63 -78 -8 0
-18 -35 -63 -78 -24 0
-3 -49 -63 -78 -8 0
-19 -49 -63 -78 -24 0
-34 -49 -63 -78 -39 0
-1 -18 -37 -89 -8 0
-1 -19 -51 -89 -8 0
-2 -34 -51 -89 -8 0
-18 -34 -51 -89 -24 0
-1 -20 -64 -89 -8 0
-2 -35 -64 -89 -8 0
-18 -35 -64 -89 -24 0
-3 -49 -64 -89 -8 0
-19 -49 -64 -89 -24 0
-34 -49 -64 -89 -39 0
-1 -21 -76 -89 -8 0
-2 -36 -76 -89 -8 0
-18 -36 -76 -89 -24 0
-3 -50 -76 -89 -8 0
-19 -50 -76 -89 -24 0
-34 -50 -76 -89 -39 0
-4 -63 -76 -89 -8 0
-20 -63 -76 -89 -24 0
-35 -63 -76 -89 -39 0
-49 -63 -76 -89 -53 0
-1 -18 -38 -99 -8 0
-1 -19 -52 -99 -8 0
-2 -34 -52 -99 -8 0
-18 -34 -52 -99 -24 0
-1 -20 -65 -99 -8 0
-2 -35 -65 -99 -8 0
-18 -35 -65 -99 -24 0
-3 -49 -65 -99 -8 0
-19 -49 -65 -99 -24 0
-34 -49 -65 -99 -39 0
-1 -21 -77 -99 -8 0
-2 -36 -77 -99 -8 0
-18 -36 -77 -99 -24 0
-3 -50 -77 -99 -8 0
-19 -50 -77 -99 -24 0
-34 -50 -77 -99 -39 0
-4 -63 -77 -99 -8 0
-20 -63 -77 -99 -24 0
-35 -63 -77 -99 -39 0
-49 -63 -77 -99 -53 0
-1 -22 -88 -99 -8 0
-2 -37 -88 -99 -8 0
-18 -37 -88 -99 -24 0
-3 -51 -88 -99 -8 0
-19 -51 -88 -99 -24 0
-34 -51 -88 -99 -39 0
-4 -64 -88 -99 -8 0
-20 -64 -88 -99 -24 0
-35 -64 -88 -99 -39 0
-49 -64 -88 -99 -53 0
-5 -76 -88 -99 -8 0
-21 -76 -88 -99 -24 0
-36 -76 -88 -99 -39 0
-50 -76 -88 -99 -53 0
-63 -76 -88 -99 -66 0
-1 -18 -34 -54 -9 0
-1 -18 -35 -67 -9 0
-1 -19 -49 -67 -9 0
-2 -34 -49 -67 -9 0
-18 -34 -49 -67 -25 0
-1 -18 -36 -79 -9 0
-1 -19 -50 -79 -9 0
-2 -34 -50 -79 -9 0
-18 -34 -50 -79 -25 0
-1 -20 -63 -79 -9 0
-2 -35 -63 -79 -9 0
-18 -35 -63 -79 -25 0
-3 -49 -63 -79 -9 0
-19 -49 -63 -79 -25 0
-34 -49 -63 -79 -40 0
-1 -18 -37 -90 -9 0
-1 -19 -51 -90 -9 0
-2 -34 -51 -90 -9 0
-18 -34 -51 -90 -25 0
-1 -20 -64 -90 -9 0
-2 -35 -64 -90 -9 0
-18 -35 -64 -90 -25 0
-3 -49 -64 -90 -9 0
-19 -49 -64 -90 -25 0
-34 -49 -64 -90 -40 0
-1 -21 -76 -90 -9 0
-2 -36 -76 -90 -9 0
-18 -36 -76 -90 -25 0
-3 -50 -76 -90 -9 0
-19 -50 -76 -90 -25 0
-34 -50 -76 -90 -40 0
-4 -63 -76 -90 -9 0
-20 -63 -76 -90 -25 0
-35 -63 -76 -90 -40 0
-49 -63 -76 -90 -54 0
-1 -18 -38 -100 -9 0
-1 -19 -52 -100 -9 0
-2 -34 -52 -100 -9 0
-18 -34 -52 -100 -25 0
-1 -20 -65 -100 -9 0
-2 -35 -65 -100 -9 0
-18 -35 -65 -100 -25 0
-3 -49 -65 -100 -9 0
-19 -49 -65 -100 -25 0
-34 -49 -65 -100 -40 0
-1 -21 -77 -100 -9 0
-2 -36 -77 -100 -9 0
-18 -36 -77 -100 -25 0
-3 -50 -77 -100 -9 0
-19 -50 -77 -100 -25 0
-34 -50 -77 -100 -40 0
-4 -63 -77 -100 -9 0
-20 -63 -77 -100 -25 0
-35 -63 -77 -100 -40 0
-49 -63 -77 -100 -54 0
-1 -22 -88 -100 -9 0
-2 -37 -88 -100 -9 0
-18 -37 -88 -100 -25 0
-3 -51 -88 -100 -9 0
-19 -51 -88 -100 -25 0
-34 -51 -88 -100 -40 0
-4 -64 -88 -100 -9 0
-20 -64 -88 -100 -25 0
-35 -64 -88 -100 -40 0
-49 -64 -88 -100 -54 0
-5 -76 -88 -100 -9 0
-21 -76 -88 -100 -25 0
-36 -76 -88 -100 -40 0
-50 -76 -88 -100 -54 0
-63 -76 -88 -100 -67 0
-1 -18 -39 -109 -9 0
-1 -19 -53 -109 -9 0
-2 -34 -53 -109 -9 0
-18 -34 -53 -109 -25 0
-1 -20 -66 -109 -9 0
-2 -35 -66 -109 -9 0
-18 -35 -66 -109 -25 0
-3 -49 -66 -109 -9 0
-19 -49 -66 -109 -25 0
-34 -49 -66 -109 -40 0
-1 -21 -78 -109 -9 0
-2 -36 -78 -109 -9 0
-18 -36 -78 -109 -25 0
-3 -50 -78 -109 -9 0
-19 -50 -78 -109 -25 0
-34 -50 -78 -109 -40 0
-4 -63 -78 -109 -9 0
-20 -63 -78 -109 -25 0
-35 -63 -78 -109 -40 0
-49 -63 -78 -109 -54 0
-1 -22 -89 -109 -9 0
-2 -37 -89 -109 -9 0
-18 -37 -89 -109 -25 0
-3 -51 -89 -109 -9 0
-19 -51 -89 -109 -25 0
-34 -51 -89 -109 -40 0
-4 -64 -89 -109 -9 0
-20 -64 -89 -109 -25 0
-35 -64 -89 -109 -40 0
-49 -64 -89 -109 -54 0
-5 -76 -89 -109 -9 0
-21 -76 -89 -109 -25 0
-36 -76 -89 -109 -40 0
-50 -76 -89 -109 -54 0
-63 -76 -89 -109 -67 0
-1 -23 -99 -109 -9 0
-2 -38 -99 -109 -9 0
-18 -38 -99 -109 -25 0
-3 -52 -99 -109 -9 0
-19 -52 -99 -109 -25 0
-34 -52 -99 -109 -40 0
-4 -65 -99 -109 -9 0
-20 -65 -99 -109 -25 0
-35 -65 -99 -109 -40 0
-49 -65 -99 -109 -54 0
-5 -77 -99 -109 -9 0
-21 -77 -99 -109 -25 0
-36 -77 -99 -109 -40 0
-50 -77 -99 -109 -54 0
-63 -77 -99 -109 -67 0
-6 -88 -99 -109 -9 0
-22 -88 -99 -109 -25 0
-37 -88 -99 -109 -40 0
-51 -88 -99 -109 -54 0
-64 -88 -99 -109 -67 0
-76 -88 -99 -109 -79 0
-1 -18 -34 -55 -10 0
-1 -18 -35 -68 -10 0
-1 -19 -49 -68 -10 0
-2 -34 -49 -68 -10 0
-18 -34 -49 -68 -26 0
-1 -18 -36 -80 -10 0
-1 -19 -50 -80 -10 0
-2 -34 -50 -80 -10 0
-18 -34 -50 -80 -26 0
-1 -20 -63 -80 -10 0
-2 -35 -63 -80 -10 0
-18 -35 -63 -80 -26 0
-3 -49 -63 -80 -10 0
-19 -49 -63 -80 -26 0
-34 -49 -63 -80 -41 0
-1 -18 -37 -91 -10 0
-1 -19 -51 -91 -10 0
-2 -34 -51 -91 -10 0
-18 -34 -51 -91 -26 0
-1 -20 -64 -91 -10 0
-2 -35 -64 -91 -10 0
-18 -35 -64 -91 -26 0
-3 -49 -64 -91 -10 0
-19 -49 -64 -91 -26 0
-34 -49 -64 -91 -41 0
-1 -21 -76 -91 -10 0
-2 -36 -76 -91 -10 0
-18 -36 -76 -91 -26 0
-3 -50 -76 -91 -10 0
-19 -50 -76 -91 -26 0
-34 -50 -76 -91 -41 0
-4 -63 -76 -91 -10 0
-20 -63 -76 -91 -26 0
-35 -63 -76 -91 -41 0
-49 -63 -76 -91 -55 0
-1 -18 -38 -101 -10 0
-1 -19 -52 -101 -10 0
-2 -34 -52 -101 -10 0
-18 -34 -52 -101 -26 0
-1 -20 -65 -101 -10 0
-2 -35 -65 -101 -10 0
-18 -35 -65 -101 -26 0
-3 -49 -65 -101 -10 0
-19 -49 -65 -101 -26 0
-34 -49 -65 -101 -41 0
-1 -21 -77 -101 -10 0
-2 -36 -77 -101 -10 0
-18 -36 -77 -101 -26 0
-3 -50 -77 -101 -10 0
-19 -50 -77 -101 -26 0
-34 -50 -77 -101 -41 0
-4 -63 -77 -101 -10 0
-20 -63 -77 -101 -26 0
-35 -63 -77 -101 -41 0
-49 -63 -77 -101 -55 0
-1 -22 -88 -101 -10 0
-2 -37 -88 -101 -10 0
-18 -37 -88 -101 -26 0
-3 -51 -88 -101 -10 0
-19 -51 -88 -101 -26 0
-34 -51 -88 -101 -41 0
-4 -64 -88 -101 -10 0
-20 -64 -88 -101 -26 0
-35 -64 -88 -101 -41 0
-49 -64 -88 -101 -55 0
-5 -76 -88 -101 -10 0
-21 -76 -88 -101 -26 0
-36 -76 -88 -101 -41 0
-50 -76 -88 -101 -55 0
-63 -76 -88 -101 -68 0
-1 -18 -39 -110 -10 0
-1 -19 -53 -110 -10 0
-2 -34 -53 -110 -10 0
-18 -34 -53 -110 -26 0
-1 -20 -66 -110 -10 0
-2 -35 -66 -110 -10 0
-18 -35 -66 -110 -26 0
-3 -49 -66 -110 -10 0
-19 -49 -66 -110 -26 0
-34 -49 -66 -110 -41 0
-1 -21 -78 -110 -10 0
-2 -36 -78 -110 -10 0
-18 -36 -78 -110 -26 0
-3 -50 -78 -110 -10 0
-19 -50 -78 -110 -26 0
-34 -50 -78 -110 -41 0
-4 -63 -78 -110 -10 0
-20 -63 -78 -110 -26 0
-35 -63 -78 -110 -41 0
-49 -63 -78 -110 -55 0
-1 -22 -89 -110 -10 0
-2 -37 -89 -110 -10 0
-18 -37 -89 -110 -26 0
-3 -51 -89 -110 -10 0
-19 -51 -89 -110 -26 0
-34 -51 -89 -110 -41 0
-4 -64 -89 -110 -10 0
-20 -64 -89 -110 -26 0
-35 -64 -89 -110 -41 0
-49 -64 -89 -110 -55 0
-5 -76 -89 -110 -10 0
-21 -76 -89 -110 -26 0
-36 -76 -89 -110 -41 0
-50 -76 -89 -110 -55 0
-63 -76 -89 -110 -68 0
-1 -23 -99 -110 -10 0
-2 -38 -99 -110 -10 0
-18 -38 -99 -110 -26 0
-3 -52 -99 -110 -10 0
-19 -52 -99 -110 -26 0
-34 -52 -99 -110 -41 0
-4 -65 -99 -110 -10 0
-20 -65 -99 -110 -26 0
-35 -65 -99 -110 -41 0
-49 -65 -99 -110 -55 0
-5 -77 -99 -110 -10 0
-21 -77 -99 -110 -26 0
-36 -77 -99 -110 -41 0
-50 -77 -99 -110 -55 0
-63 -77 -99 -110 -68 0
-6 -88 -99 -110 -10 0
-22 -88 -99 -110 -26 0
-37 -88 -99 -110 -41 0
-51 -88 -99 -110 -55 0
-64 -88 -99 -110 -68 0
-76 -88 -99 -110 -80 0
-1 -18 -40 -118 -10 0
-1 -19 -54 -118 -10 0
-2 -34 -54 -118 -10 0
-18 -34 -54 -118 -26 0
-1 -20 -67 -118 -10 0
-2 -35 -67 -118 -10 0
-18 -35 -67 -118 -26 0
-3 -49 -67 -118 -10 0
-19 -49 -67 -118 -26 0
-34 -49 -67 -118 -41 0
-1 -21 -79 -118 -10 0
-2 -36 -79 -118 -10 0
-18 -36 -79 -118 -26 0
-3 -50 -79 -118 -10 0
-19 -50 -79 -118 -26 0
-34 -50 -79 -118 -41 0
-4 -63 -79 -118 -10 0
-20 -63 -79 -118 -26 0
-35 -63 -79 -118 -41 0
-49 -63 -79 -118 -55 0
-1 -22 -90 -118 -10 0
-2 -37 -90 -118 -10 0
-18 -37 -90 -118 -26 0
-3 -51 -90 -118 -10 0
-19 -51 -90 -118 -26 0
-34 -51 -90 -118 -41 0
-4 -64 -90 -118 -10 0
-20 -64 -90 -118 -26 0
-35 -64 -90 -118 -41 0
-49 -64 -90 -118 -55 0
-5 -76 -90 -118 -10 0
-21 -76 -90 -118 -26 0
-36 -76 -90 -118 -41 0
-50 -76 -90 -118 -55 0
-63 -76 -90 -118 -68 0
-1 -23 -100 -118 -10 0
-2 -38 -100 -118 -10 0
-18 -38 -100 -118 -26 0
-3 -52 -100 -118 -10 0
-19 -52 -100 -118 -26 0
-34 -52 -100 -118 -41 0
-4 -65 -100 -118 -10 0
-20 -65 -100 -118 -26 0
-35 -65 -100 -118 -41 0
-49 -65 -100 -118 -55 0
-5 -77 -100 -118 -10 0
-21 -77 -100 -118 -26 0
-36 -77 -100 -118 -41 0
-50 -77 -100 -118 -55 0
-63 -77 -100 -118 -68 0
-6 -88 -100 -118 -10 0
-22 -88 -100 -118 -26 0
-37 -88 -100 -118 -41 0
-51 -88 -100 -118 -55 0
-64 -88 -100 -118 -68 0
-76 -88 -100 -118 -80 0
-1 -24 -109 -118 -10 0
-2 -39 -109 -118 -10 0
-18 -39 -109 -118 -26 0
-3 -53 -109 -118 -10 0
-19 -53 -109 -118 -26 0
-34 -53 -109 -118 -41 0
-4 -66 -109 -118 -10 0
-20 -66 -109 -118 -26 0
-35 -66 -109 -118 -41 0
-49 -66 -109 -118 -55 0
-5 -78 -109 -118 -10 0
-21 -78 -109 -118 -26 0
-36 -78 -109 -118 -41 0
-50 -78 -109 -118 -55 0
-63 -78 -109 -118 -68 0
-6 -89 -109 -118 -10 0
-22 -89 -109 -118 -26 0
-37 -89 -109 -118 -41 0
-51 -89 -109 -118 -55 0
-64 -89 -109 -118 -68 0
-76 -89 -109 -118 -80 0
-7 -99 -109 -118 -10 0
-23 -99 -109 -118 -26 0
-38 -99 -109 -118 -41 0
-52 -99 -109 -118 -55 0
-65 -99 -109 -118 -68 0
-77 -99 -109 -118 -80 0
-88 -99 -109 -118 -91 0
-1 -18 -34 -56 -11 0
-1 -18 -35 -69 -11 0
-1 -19 -49 -69 -11 0
-2 -34 -49 -69 -11 0
-18 -34 -49 -69 -27 0
-1 -18 -36 -81 -11 0
-1 -19 -50 -81 -11 0
-2 -34 -50 -81 -11 0
-18 -34 -50 -81 -27 0
-1 -20 -63 -81 -11 0
-2 -35 -63 -81 -11 0
-18 -35 -63 -81 -27 0
-3 -49 -63 -81 -11 0
-19 -49 -63 -81 -27 0
-34 -49 -63 -81 -42 0
-1 -18 -37 -92 -11 0
-1 -19 -51 -92 -11 0
-2 -34 -51 -92 -11 0
-18 -34 -51 -92 -27 0
-1 -20 -64 -92 -11 0
-2 -35 -64 -92 -11 0
-18 -35 -64 -92 -27 0
-3 -49 -64 -92 -11 0
-19 -49 -64 -92 -27 0
-34 -49 -64 -92 -42 0
-1 -21 -76 -92 -11 0
-2 -36 -76 -92 -11 0
-18 -36 -76 -92 -27 0
-3 -50 -76 -92 -11 0
-19 -50 -76 -92 -27 0
-34 -50 -76 -92 -42 0
-4 -63 -76 -92 -11 0
-20 -63 -76 -92 -27 0
-35 -63 -76 -92 -42 0
-49 -63 -76 -92 -56 0
-1 -18 -38 -102 -11 0
-1 -19 -52 -102 -11 0
-2 -34 -52 -102 -11 0
-18 -34 -52 -102 -27 0
-1 -20 -65 -102 -11 0
-2 -35 -65 -102 -11 0
-18 -35 -65 -102 -27 0
-3 -49 -65 -102 -11 0
-19 -49 -65 -102 -27 0
-34 -49 -65 -102 -42 0
-1 -21 -77 -102 -11 0
-2 -36 -77 -102 -11 0
-18 -36 -77 -102 -27 0
-3 -50 -77 -102 -11 0
-19 -50 -77 -102 -27 0
-34 -50 -77 -102 -42 0
-4 -63 -77 -102 -11 0
-20 -63 -77 -102 -27 0
-35 -63 -77 -102 -42 0
-49 -63 -77 -102 -56 0
-1 -22 -88 -102 -11 0
-2 -37 -88 -102 -11 0
-18 -37 -88 -102 -27 0
-3 -51 -88 -102 -11 0
-19 -51 -88 -102 -27 0
-34 -51 -88 -102 -42 0
-4 -64 -88 -102 -11 0
-20 -64 -88 -102 -27 0
-35 -64 -88 -102 -42 0
-49 -64 -88 -102 -56 0
-5 -76 -88 -102 -11 0
-21 -76 -88 -102 -27 0
-36 -76 -88 -102 -42 0
-50 -76 -88 -102 -56 0
-63 -76 -88 -102 -69 0
-1 -18 -39 -111 -11 0
-1 -19 -53 -111 -11 0
-2 -34 -53 -111 -11 0
-18 -34 -53 -111 -27 0
-1 -20 -66 -111 -11 0
-2 -35 -66 -111 -11 0
-18 -35 -66 -111 -27 0
-3 -49 -66 -111 -11 0
-19 -49 -66 -111 -27 0
-34 -49 -66 -111 -42 0
-1 -21 -78 -111 -11 0
-2 -36 -78 -111 -11 0
-18 -36 -78 -111 -27 0
-3 -50 -78 -111 -11 0
-19 -50 -78 -111 -27 0
-34 -50 -78 -111 -42 0
-4 -63 -78 -111 -11 0
-20 -63 -78 -111 -27 0
-35 -63 -78 -111 -42 0
-49 -63 -78 -111 -56 0
-1 -22 -89 -111 -11 0
-2 -37 -89 -111 -11 0
-18 -37 -89 -111 -27 0
-3 -51 -89 -111 -11 0
-19 -51 -89 -111 -27 0
-34 -51 -89 -111 -42 0
-4 -64 -89 -111 -11 0
-20 -64 -89 -111 -27 0
-35 -64 -89 -111 -42 0
-49 -64 -89 -111 -56 0
-5 -76 -89 -111 -11 0
-21 -76 -89 -111 -27 0
-36 -76 -89 -111 -42 0
-50 -76 -89 -111 -56 0
-63 -76 -89 -111 -69 0
-1 -23 -99 -111 -11 0
-2 -38 -99 -111 -11 0
-18 -38 -99 -111 -27 0
-3 -52 -99 -111 -11 0
-19 -52 -99 -111 -27 0
-34 -52 -99 -111 -42 0
-4 -65 -99 -111 -11 0
-20 -65 -99 -111 -27 0
-35 -65 -99 -111 -42 0
-49 -65 -99 -111 -56 0
-5 -77 -99 -111 -11 0
-21 -77 -99 -111 -27 0
-36 -77 -99 -111 -42 0
-50 -77 -99 -111 -56 0
-63 -77 -99 -111 -69 0
-6 -88 -99 -111 -11 0
-22 -88 -99 -111 -27 0
-37 -88 -99 -111 -42 0
-51 -88 -99 -111 -56 0
-64 -88 -99 -111 -69 0
-76 -88 -99 -111 -81 0
-1 -18 -40 -119 -11 0
-1 -19 -54 -119 -11 0
-2 -34 -54 -119 -11 0
-18 -34 -54 -119 -27 0
-1 -20 -67 -119 -11 0
-2 -35 -67 -119 -11 0
-18 -35 -67 -119 -27 0
-3 -49 -67 -119 -11 0
-19 -49 -67 -119 -27 0
-34 -49 -67 -119 -42 0
-1 -21 -79 -119 -11 0
-2 -36 -79 -119 -11 0
-18 -36 -79 -119 -27 0
-3 -50 -79 -119 -11 0
-19 -50 -79 -119 -27 0
-34 -50 -79 -119 -42 0
-4 -63 -79 -119 -11 0
-20 -63 -79 -119 -27 0
-35 -63 -79 -119 -42 0
-49 -63 -79 -119 -56 0
-1 -22 -90 -119 -11 0
-2 -37 -90 -119 -11 0
-18 -37 -90 -119 -27 0
-3 -51 -90 -119 -11 0
-19 -51 -90 -119 -27 0
-34 -51 -90 -119 -42 0
-4 -64 -90 -119 -11 0
-20 -64 -90 -119 -27 0
-35 -64 -90 -119 -42 0
-49 -64 -90 -119 -56 0
-5 -76 -90 -119 -11 0
-21 -76 -90 -119 -27 0
-36 -76 -90 -119 -42 0
-50 -76 -90 -119 -56 0
-63 -76 -90 -119 -69 0
-1 -23 -100 -119 -11 0
-2 -38 -100 -119 -11 0
-18 -38 -100 -119 -27 0
-3 -52 -100 -119 -11 0
-19 -52 -100 -119 -27 0
-34 -52 -100 -119 -42 0
-4 -65 -100 -119 -11 0
-20 -65 -100 -119 -27 0
-35 -65 -100 -119 -42 0
-49 -65 -100 -119 -56 0
-5 -77 -100 -119 -11 0
-21 -77 -100 -119 -27 0
-36 -77 -100 -119 -42 0
-50 -77 -100 -119 -56 0
-63 -77 -100 -119 -69 0
-6 -88 -100 -119 -11 0
-22 -88 -100 -119 -27 0
-37 -88 -100 -119 -42 0
-51 -88 -100 -119 -56 0
-64 -88 -100 -119 -69 0
-76 -88 -100 -119 -81 0
-1 -24 -109 -119 -11 0
-2 -39 -109 -119 -11 0
-18 -39 -109 -119 -27 0
-3 -53 -109 -119 -11 0
-19 -53 -109 -119 -27 0
-34 -53 -109 -119 -42 0
-4 -66 -109 -119 -11 0
