p cnf 153 6120
-50 -77 -100 -54 0
63 77 100 67 0
-63 -77 -100 -67 0
6 88 100 9 0
-6 -88 -100 -9 0
22 88 100 25 0
-22 -88 -100 -25 0
37 88 100 40 0
-37 -88 -100 -40 0
51 88 100 54 0
-51 -88 -100 -54 0
64 88 100 67 0
-64 -88 -100 -67 0
76 88 100 79 0
-76 -88 -100 -79 0
1 24 109 9 0
-1 -24 -109 -9 0
2 39 109 9 0
-2 -39 -109 -9 0
18 39 109 25 0
-18 -39 -109 -25 0
3 53 109 9 0
-3 -53 -109 -9 0
19 53 109 25 0
-19 -53 -109 -25 0
34 53 109 40 0
-34 -53 -109 -40 0
4 66 109 9 0
-4 -66 -109 -9 0
20 66 109 25 0
-20 -66 -109 -25 0
35 66 109 40 0
-35 -66 -109 -40 0
49 66 109 54 0
-49 -66 -109 -54 0
5 78 109 9 0
-5 -78 -109 -9 0
21 78 109 25 0
-21 -78 -109 -25 0
36 78 109 40 0
-36 -78 -109 -40 0
50 78 109 54 0
-50 -78 -109 -54 0
63 78 109 67 0
-63 -78 -109 -67 0
6 89 109 9 0
-6 -89 -109 -9 0
22 89 109 25 0
-22 -89 -109 -25 0
37 89 109 40 0
-37 -89 -109 -40 0
51 89 109 54 0
-51 -89 -109 -54 0
64 89 109 67 0
-64 -89 -109 -67 0
76 89 109 79 0
-76 -89 -109 -79 0
7 99 109 9 0
-7 -99 -109 -9 0
23 99 109 25 0
-23 -99 -109 -25 0
38 99 109 40 0
-38 -99 -109 -40 0
52 99 109 54 0
-52 -99 -109 -54 0
65 99 109 67 0
-65 -99 -109 -67 0
77 99 109 79 0
-77 -99 -109 -79 0
88 99 109 90 0
-88 -99 -109 -90 0
1 18 41 10 0
-1 -18 -41 -10 0
1 19 55 10 0
-1 -19 -55 -10 0
2 34 55 10 0
-2 -34 -55 -10 0
18 34 55 26 0
-18 -34 -55 -26 0
1 20 68 10 0
-1 -20 -68 -10 0
2 35 68 10 0
-2 -35 -68 -10 0
18 35 68 26 0
-18 -35 -68 -26 0
3 49 68 10 0
-3 -49 -68 -10 0
19 49 68 26 0
-19 -49 -68 -26 0
34 49 68 41 0
-34 -49 -68 -41 0
1 21 80 10 0
-1 -21 -80 -10 0
2 36 80 10 0
-2 -36 -80 -10 0
18 36 80 26 0
-18 -36 -80 -26 0
3 50 80 10 0
-3 -50 -80 -10 0
19 50 80 26 0
-19 -50 -80 -26 0
34 50 80 41 0
-34 -50 -80 -41 0
4 63 80 10 0
-4 -63 -80 -10 0
20 63 80 26 0
-20 -63 -80 -26 0
35 63 80 41 0
-35 -63 -80 -41 0
49 63 80 55 0
-49 -63 -80 -55 0
1 22 91 10 0
-1 -22 -91 -10 0
2 37 91 10 0
-2 -37 -91 -10 0
18 37 91 26 0
-18 -37 -91 -26 0
3 51 91 10 0
-3 -51 -91 -10 0
19 51 91 26 0
-19 -51 -91 -26 0
34 51 91 41 0
-34 -51 -91 -41 0
4 64 91 10 0
-4 -64 -91 -10 0
20 64 91 26 0
-20 -64 -91 -26 0
35 64 91 41 0
-35 -64 -91 -41 0
49 64 91 55 0
-49 -64 -91 -55 0
5 76 91 10 0
-5 -76 -91 -10 0
21 76 91 26 0
-21 -76 -91 -26 0
36 76 91 41 0
-36 -76 -91 -41 0
50 76 91 55 0
-50 -76 -91 -55 0
63 76 91 68 0
-63 -76 -91 -68 0
1 23 101 10 0
-1 -23 -101 -10 0
2 38 101 10 0
-2 -38 -101 -10 0
18 38 101 26 0
-18 -38 -101 -26 0
3 52 101 10 0
-3 -52 -101 -10 0
19 52 101 26 0
-19 -52 -101 -26 0
34 52 101 41 0
-34 -52 -101 -41 0
4 65 101 10 0
-4 -65 -101 -10 0
20 65 101 26 0
-20 -65 -101 -26 0
35 65 101 41 0
-35 -65 -101 -41 0
49 65 101 55 0
-49 -65 -101 -55 0
5 77 101 10 0
-5 -77 -101 -10 0
21 77 101 26 0
-21 -77 -101 -26 0
36 77 101 41 0
-36 -77 -101 -41 0
50 77 101 55 0
-50 -77 -101 -55 0
63 77 101 68 0
-63 -77 -101 -68 0
6 88 101 10 0
-6 -88 -101 -10 0
22 88 101 26 0
-22 -88 -101 -26 0
37 88 101 41 0
-37 -88 -101 -41 0
51 88 101 55 0
-51 -88 -101 -55 0
64 88 101 68 0
-64 -88 -101 -68 0
76 88 101 80 0
-76 -88 -101 -80 0
1 24 110 10 0
-1 -24 -110 -10 0
2 39 110 10 0
-2 -39 -110 -10 0
18 39 110 26 0
-18 -39 -110 -26 0
3 53 110 10 0
-3 -53 -110 -10 0
19 53 110 26 0
-19 -53 -110 -26 0
34 53 110 41 0
-34 -53 -110 -41 0
4 66 110 10 0
-4 -66 -110 -10 0
20 66 110 26 0
-20 -66 -110 -26 0
35 66 110 41 0
-35 -66 -110 -41 0
49 66 110 55 0
-49 -66 -110 -55 0
5 78 110 10 0
-5 -78 -110 -10 0
21 78 110 26 0
-21 -78 -110 -26 0
36 78 110 41 0
-36 -78 -110 -41 0
50 78 110 55 0
-50 -78 -110 -55 0
63 78 110 68 0
-63 -78 -110 -68 0
6 89 110 10 0
-6 -89 -110 -10 0
22 89 110 26 0
-22 -89 -110 -26 0
37 89 110 41 0
-37 -89 -110 -41 0
51 89 110 55 0
-51 -89 -110 -55 0
64 89 110 68 0
-64 -89 -110 -68 0
76 89 110 80 0
-76 -89 -110 -80 0
7 99 110 10 0
-7 -99 -110 -10 0
23 99 110 26 0
-23 -99 -110 -26 0
38 99 110 41 0
-38 -99 -110 -41 0
52 99 110 55 0
-52 -99 -110 -55 0
65 99 110 68 0
-65 -99 -110 -68 0
77 99 110 80 0
-77 -99 -110 -80 0
88 99 110 91 0
-88 -99 -110 -91 0
1 25 118 10 0
-1 -25 -118 -10 0
2 40 118 10 0
-2 -40 -118 -10 0
18 40 118 26 0
-18 -40 -118 -26 0
3 54 118 10 0
-3 -54 -118 -10 0
19 54 118 26 0
-19 -54 -118 -26 0
34 54 118 41 0
-34 -54 -118 -41 0
4 67 118 10 0
-4 -67 -118 -10 0
20 67 118 26 0
-20 -67 -118 -26 0
35 67 118 41 0
-35 -67 -118 -41 0
49 67 118 55 0
-49 -67 -118 -55 0
5 79 118 10 0
-5 -79 -118 -10 0
21 79 118 26 0
-21 -79 -118 -26 0
36 79 118 41 0
-36 -79 -118 -41 0
50 79 118 55 0
-50 -79 -118 -55 0
63 79 118 68 0
-63 -79 -118 -68 0
6 90 118 10 0
-6 -90 -118 -10 0
22 90 118 26 0
-22 -90 -118 -26 0
37 90 118 41 0
-37 -90 -118 -41 0
51 90 118 55 0
-51 -90 -118 -55 0
64 90 118 68 0
-64 -90 -118 -68 0
76 90 118 80 0
-76 -90 -118 -80 0
7 100 118 10 0
-7 -100 -118 -10 0
23 100 118 26 0
-23 -100 -118 -26 0
38 100 118 41 0
-38 -100 -118 -41 0
52 100 118 55 0
-52 -100 -118 -55 0
65 100 118 68 0
-65 -100 -118 -68 0
77 100 118 80 0
-77 -100 -118 -80 0
88 100 118 91 0
-88 -100 -118 -91 0
8 109 118 10 0
-8 -109 -118 -10 0
24 109 118 26 0
-24 -109 -118 -26 0
39 109 118 41 0
-39 -109 -118 -41 0
53 109 118 55 0
-53 -109 -118 -55 0
66 109 118 68 0
-66 -109 -118 -68 0
78 109 118 80 0
-78 -109 -118 -80 0
89 109 118 91 0
-89 -109 -118 -91 0
99 109 118 101 0
-99 -109 -118 -101 0
1 18 42 11 0
-1 -18 -42 -11 0
1 19 56 11 0
-1 -19 -56 -11 0
2 34 56 11 0
-2 -34 -56 -11 0
18 34 56 27 0
-18 -34 -56 -27 0
1 20 69 11 0
-1 -20 -69 -11 0
2 35 69 11 0
-2 -35 -69 -11 0
18 35 69 27 0
-18 -35 -69 -27 0
3 49 69 11 0
-3 -49 -69 -11 0
19 49 69 27 0
-19 -49 -69 -27 0
34 49 69 42 0
-34 -49 -69 -42 0
1 21 81 11 0
-1 -21 -81 -11 0
2 36 81 11 0
-2 -36 -81 -11 0
18 36 81 27 0
-18 -36 -81 -27 0
3 50 81 11 0
-3 -50 -81 -11 0
19 50 81 27 0
-19 -50 -81 -27 0
34 50 81 42 0
-34 -50 -81 -42 0
4 63 81 11 0
-4 -63 -81 -11 0
20 63 81 27 0
-20 -63 -81 -27 0
35 63 81 42 0
-35 -63 -81 -42 0
49 63 81 56 0
-49 -63 -81 -56 0
1 22 92 11 0
-1 -22 -92 -11 0
2 37 92 11 0
-2 -37 -92 -11 0
18 37 92 27 0
-18 -37 -92 -27 0
3 51 92 11 0
-3 -51 -92 -11 0
19 51 92 27 0
-19 -51 -92 -27 0
34 51 92 42 0
-34 -51 -92 -42 0
4 64 92 11 0
-4 -64 -92 -11 0
20 64 92 27 0
-20 -64 -92 -27 0
35 64 92 42 0
-35 -64 -92 -42 0
49 64 92 56 0
-49 -64 -92 -56 0
5 76 92 11 0
-5 -76 -92 -11 0
21 76 92 27 0
-21 -76 -92 -27 0
36 76 92 42 0
-36 -76 -92 -42 0
50 76 92 56 0
-50 -76 -92 -56 0
63 76 92 69 0
-63 -76 -92 -69 0
1 23 102 11 0
-1 -23 -102 -11 0
2 38 102 11 0
-2 -38 -102 -11 0
18 38 102 27 0
-18 -38 -102 -27 0
3 52 102 11 0
-3 -52 -102 -11 0
19 52 102 27 0
-19 -52 -102 -27 0
34 52 102 42 0
-34 -52 -102 -42 0
4 65 102 11 0
-4 -65 -102 -11 0
20 65 102 27 0
-20 -65 -102 -27 0
35 65 102 42 0
-35 -65 -102 -42 0
49 65 102 56 0
-49 -65 -102 -56 0
5 77 102 11 0
-5 -77 -102 -11 0
21 77 102 27 0
-21 -77 -102 -27 0
36 77 102 42 0
-36 -77 -102 -42 0
50 77 102 56 0
-50 -77 -102 -56 0
63 77 102 69 0
-63 -77 -102 -69 0
6 88 102 11 0
-6 -88 -102 -11 0
22 88 102 27 0
-22 -88 -102 -27 0
37 88 102 42 0
-37 -88 -102 -42 0
51 88 102 56 0
-51 -88 -102 -56 0
64 88 102 69 0
-64 -88 -102 -69 0
76 88 102 81 0
-76 -88 -102 -81 0
1 24 111 11 0
-1 -24 -111 -11 0
2 39 111 11 0
-2 -39 -111 -11 0
18 39 111 27 0
-18 -39 -111 -27 0
3 53 111 11 0
-3 -53 -111 -11 0
19 53 111 27 0
-19 -53 -111 -27 0
34 53 111 42 0
-34 -53 -111 -42 0
4 66 111 11 0
-4 -66 -111 -11 0
20 66 111 27 0
-20 -66 -111 -27 0
35 66 111 42 0
-35 -66 -111 -42 0
49 66 111 56 0
-49 -66 -111 -56 0
5 78 111 11 0
-5 -78 -111 -11 0
21 78 111 27 0
-21 -78 -111 -27 0
36 78 111 42 0
-36 -78 -111 -42 0
50 78 111 56 0
-50 -78 -111 -56 0
63 78 111 69 0
-63 -78 -111 -69 0
6 89 111 11 0
-6 -89 -111 -11 0
22 89 111 27 0
-22 -89 -111 -27 0
37 89 111 42 0
-37 -89 -111 -42 0
51 89 111 56 0
-51 -89 -111 -56 0
64 89 111 69 0
-64 -89 -111 -69 0
76 89 111 81 0
-76 -89 -111 -81 0
7 99 111 11 0
-7 -99 -111 -11 0
23 99 111 27 0
-23 -99 -111 -27 0
38 99 111 42 0
-38 -99 -111 -42 0
52 99 111 56 0
-52 -99 -111 -56 0
65 99 111 69 0
-65 -99 -111 -69 0
77 99 111 81 0
-77 -99 -111 -81 0
88 99 111 92 0
-88 -99 -111 -92 0
1 25 119 11 0
-1 -25 -119 -11 0
2 40 119 11 0
-2 -40 -119 -11 0
18 40 119 27 0
-18 -40 -119 -27 0
3 54 119 11 0
-3 -54 -119 -11 0
19 54 119 27 0
-19 -54 -119 -27 0
34 54 119 42 0
-34 -54 -119 -42 0
4 67 119 11 0
-4 -67 -119 -11 0
20 67 119 27 0
-20 -67 -119 -27 0
35 67 119 42 0
-35 -67 -119 -42 0
49 67 119 56 0
-49 -67 -119 -56 0
5 79 119 11 0
-5 -79 -119 -11 0
21 79 119 27 0
-21 -79 -119 -27 0
36 79 119 42 0
-36 -79 -119 -42 0
50 79 119 56 0
-50 -79 -119 -56 0
63 79 119 69 0
-63 -79 -119 -69 0
6 90 119 11 0
-6 -90 -119 -11 0
22 90 119 27 0
-22 -90 -119 -27 0
37 90 119 42 0
-37 -90 -119 -42 0
51 90 119 56 0
-51 -90 -119 -56 0
64 90 119 69 0
-64 -90 -119 -69 0
76 90 119 81 0
-76 -90 -119 -81 0
7 100 119 11 0
-7 -100 -119 -11 0
23 100 119 27 0
-23 -100 -119 -27 0
38 100 119 42 0
-38 -100 -119 -42 0
52 100 119 56 0
-52 -100 -119 -56 0
65 100 119 69 0
-65 -100 -119 -69 0
77 100 119 81 0
-77 -100 -119 -81 0
88 100 119 92 0
-88 -100 -119 -92 0
8 109 119 11 0
-8 -109 -119 -11 0
24 109 119 27 0
-24 -109 -119 -27 0
39 109 119 42 0
-39 -109 -119 -42 0
53 109 119 56 0
-53 -109 -119 -56 0
66 109 119 69 0
-66 -109 -119 -69 0
78 109 119 81 0
-78 -109 -119 -81 0
89 109 119 92 0
-89 -109 -119 -92 0
99 109 119 102 0
-99 -109 -119 -102 0
1 26 126 11 0
-1 -26 -126 -11 0
2 41 126 11 0
-2 -41 -126 -11 0
18 41 126 27 0
-18 -41 -126 -27 0
3 55 126 11 0
-3 -55 -126 -11 0
19 55 126 27 0
-19 -55 -126 -27 0
34 55 126 42 0
-34 -55 -126 -42 0
4 68 126 11 0
-4 -68 -126 -11 0
20 68 126 27 0
-20 -68 -126 -27 0
35 68 126 42 0
-35 -68 -126 -42 0
49 68 126 56 0
-49 -68 -126 -56 0
5 80 126 11 0
-5 -80 -126 -11 0
21 80 126 27 0
-21 -80 -126 -27 0
36 80 126 42 0
-36 -80 -126 -42 0
50 80 126 56 0
-50 -80 -126 -56 0
63 80 126 69 0
-63 -80 -126 -69 0
6 91 126 11 0
-6 -91 -126 -11 0
22 91 126 27 0
-22 -91 -126 -27 0
37 91 126 42 0
-37 -91 -126 -42 0
51 91 126 56 0
-51 -91 -126 -56 0
64 91 126 69 0
-64 -91 -126 -69 0
76 91 126 81 0
-76 -91 -126 -81 0
7 101 126 11 0
-7 -101 -126 -11 0
23 101 126 27 0
-23 -101 -126 -27 0
38 101 126 42 0
-38 -101 -126 -42 0
52 101 126 56 0
-52 -101 -126 -56 0
65 101 126 69 0
-65 -101 -126 -69 0
77 101 126 81 0
-77 -101 -126 -81 0
88 101 126 92 0
-88 -101 -126 -92 0
8 110 126 11 0
-8 -110 -126 -11 0
24 110 126 27 0
-24 -110 -126 -27 0
39 110 126 42 0
-39 -110 -126 -42 0
53 110 126 56 0
-53 -110 -126 -56 0
66 110 126 69 0
-66 -110 -126 -69 0
78 110 126 81 0
-78 -110 -126 -81 0
89 110 126 92 0
-89 -110 -126 -92 0
99 110 126 102 0
-99 -110 -126 -102 0
9 118 126 11 0
-9 -118 -126 -11 0
25 118 126 27 0
-25 -118 -126 -27 0
40 118 126 42 0
-40 -118 -126 -42 0
54 118 126 56 0
-54 -118 -126 -56 0
67 118 126 69 0
-67 -118 -126 -69 0
79 118 126 81 0
-79 -118 -126 -81 0
90 118 126 92 0
-90 -118 -126 -92 0
100 118 126 102 0
-100 -118 -126 -102 0
109 118 126 111 0
-109 -118 -126 -111 0
1 18 43 12 0
-1 -18 -43 -12 0
1 19 57 12 0
-1 -19 -57 -12 0
2 34 57 12 0
-2 -34 -57 -12 0
18 34 57 28 0
-18 -34 -57 -28 0
1 20 70 12 0
-1 -20 -70 -12 0
2 35 70 12 0
-2 -35 -70 -12 0
18 35 70 28 0
-18 -35 -70 -28 0
3 49 70 12 0
-3 -49 -70 -12 0
19 49 70 28 0
-19 -49 -70 -28 0
34 49 70 43 0
-34 -49 -70 -43 0
1 21 82 12 0
-1 -21 -82 -12 0
2 36 82 12 0
-2 -36 -82 -12 0
18 36 82 28 0
-18 -36 -82 -28 0
3 50 82 12 0
-3 -50 -82 -12 0
19 50 82 28 0
-19 -50 -82 -28 0
34 50 82 43 0
-34 -50 -82 -43 0
4 63 82 12 0
-4 -63 -82 -12 0
20 63 82 28 0
-20 -63 -82 -28 0
35 63 82 43 0
-35 -63 -82 -43 0
49 63 82 57 0
-49 -63 -82 -57 0
1 22 93 12 0
-1 -22 -93 -12 0
2 37 93 12 0
-2 -37 -93 -12 0
18 37 93 28 0
-18 -37 -93 -28 0
3 51 93 12 0
-3 -51 -93 -12 0
19 51 93 28 0
-19 -51 -93 -28 0
34 51 93 43 0
-34 -51 -93 -43 0
4 64 93 12 0
-4 -64 -93 -12 0
20 64 93 28 0
-20 -64 -93 -28 0
35 64 93 43 0
-35 -64 -93 -43 0
49 64 93 57 0
-49 -64 -93 -57 0
5 76 93 12 0
-5 -76 -93 -12 0
21 76 93 28 0
-21 -76 -93 -28 0
36 76 93 43 0
-36 -76 -93 -43 0
50 76 93 57 0
-50 -76 -93 -57 0
63 76 93 70 0
-63 -76 -93 -70 0
1 23 103 12 0
-1 -23 -103 -12 0
2 38 103 12 0
-2 -38 -103 -12 0
18 38 103 28 0
-18 -38 -103 -28 0
3 52 103 12 0
-3 -52 -103 -12 0
19 52 103 28 0
-19 -52 -103 -28 0
34 52 103 43 0
-34 -52 -103 -43 0
4 65 103 12 0
-4 -65 -103 -12 0
20 65 103 28 0
-20 -65 -103 -28 0
35 65 103 43 0
-35 -65 -103 -43 0
49 65 103 57 0
-49 -65 -103 -57 0
5 77 103 12 0
-5 -77 -103 -12 0
21 77 103 28 0
-21 -77 -103 -28 0
36 77 103 43 0
-36 -77 -103 -43 0
50 77 103 57 0
-50 -77 -103 -57 0
63 77 103 70 0
-63 -77 -103 -70 0
6 88 103 12 0
-6 -88 -103 -12 0
22 88 103 28 0
-22 -88 -103 -28 0
37 88 103 43 0
-37 -88 -103 -43 0
51 88 103 57 0
-51 -88 -103 -57 0
64 88 103 70 0
-64 -88 -103 -70 0
76 88 103 82 0
-76 -88 -103 -82 0
1 24 112 12 0
-1 -24 -112 -12 0
2 39 112 12 0
-2 -39 -112 -12 0
18 39 112 28 0
-18 -39 -112 -28 0
3 53 112 12 0
-3 -53 -112 -12 0
19 53 112 28 0
-19 -53 -112 -28 0
34 53 112 43 0
-34 -53 -112 -43 0
4 66 112 12 0
-4 -66 -112 -12 0
20 66 112 28 0
-20 -66 -112 -28 0
35 66 112 43 0
-35 -66 -112 -43 0
49 66 112 57 0
-49 -66 -112 -57 0
5 78 112 12 0
-5 -78 -112 -12 0
21 78 112 28 0
-21 -78 -112 -28 0
36 78 112 43 0
-36 -78 -112 -43 0
50 78 112 57 0
-50 -78 -112 -57 0
63 78 112 70 0
-63 -78 -112 -70 0
6 89 112 12 0
-6 -89 -112 -12 0
22 89 112 28 0
-22 -89 -112 -28 0
37 89 112 43 0
-37 -89 -112 -43 0
51 89 112 57 0
-51 -89 -112 -57 0
64 89 112 70 0
-64 -89 -112 -70 0
76 89 112 82 0
-76 -89 -112 -82 0
7 99 112 12 0
-7 -99 -112 -12 0
23 99 112 28 0
-23 -99 -112 -28 0
38 99 112 43 0
-38 -99 -112 -43 0
52 99 112 57 0
-52 -99 -112 -57 0
65 99 112 70 0
-65 -99 -112 -70 0
77 99 112 82 0
-77 -99 -112 -82 0
88 99 112 93 0
-88 -99 -112 -93 0
1 25 120 12 0
-1 -25 -120 -12 0
2 40 120 12 0
-2 -40 -120 -12 0
18 40 120 28 0
-18 -40 -120 -28 0
3 54 120 12 0
