p cnf 153 19380
109 122 114 0
10 129 14 0
26 129 30 0
41 129 45 0
55 129 59 0
68 129 72 0
80 129 84 0
91 129 95 0
101 129 105 0
110 129 114 0
118 129 122 0
11 135 14 0
27 135 30 0
42 135 45 0
56 135 59 0
69 135 72 0
81 135 84 0
92 135 95 0
102 135 105 0
111 135 114 0
119 135 122 0
126 135 129 0
12 140 14 0
28 140 30 0
43 140 45 0
57 140 59 0
70 140 72 0
82 140 84 0
93 140 95 0
103 140 105 0
112 140 114 0
120 140 122 0
127 140 129 0
133 140 135 0
13 144 14 0
29 144 30 0
44 144 45 0
58 144 59 0
71 144 72 0
83 144 84 0
94 144 95 0
104 144 105 0
113 144 114 0
121 144 122 0
128 144 129 0
134 144 135 0
139 144 140 0
1 31 15 0
2 46 15 0
18 46 31 0
3 60 15 0
19 60 31 0
34 60 46 0
4 73 15 0
20 73 31 0
35 73 46 0
49 73 60 0
5 85 15 0
21 85 31 0
36 85 46 0
50 85 60 0
63 85 73 0
6 96 15 0
22 96 31 0
37 96 46 0
51 96 60 0
64 96 73 0
76 96 85 0
7 106 15 0
23 106 31 0
38 106 46 0
52 106 60 0
65 106 73 0
77 106 85 0
88 106 96 0
8 115 15 0
24 115 31 0
39 115 46 0
53 115 60 0
66 115 73 0
78 115 85 0
89 115 96 0
99 115 106 0
9 123 15 0
25 123 31 0
40 123 46 0
54 123 60 0
67 123 73 0
79 123 85 0
90 123 96 0
100 123 106 0
109 123 115 0
10 130 15 0
26 130 31 0
41 130 46 0
55 130 60 0
68 130 73 0
80 130 85 0
91 130 96 0
101 130 106 0
110 130 115 0
118 130 123 0
11 136 15 0
27 136 31 0
42 136 46 0
56 136 60 0
69 136 73 0
81 136 85 0
92 136 96 0
102 136 106 0
111 136 115 0
119 136 123 0
126 136 130 0
12 141 15 0
28 141 31 0
43 141 46 0
57 141 60 0
70 141 73 0
82 141 85 0
93 141 96 0
103 141 106 0
112 141 115 0
120 141 123 0
127 141 130 0
133 141 136 0
13 145 15 0
29 145 31 0
44 145 46 0
58 145 60 0
71 145 73 0
83 145 85 0
94 145 96 0
104 145 106 0
113 145 115 0
121 145 123 0
128 145 130 0
134 145 136 0
139 145 141 0
14 148 15 0
30 148 31 0
45 148 46 0
59 148 60 0
72 148 73 0
84 148 85 0
95 148 96 0
105 148 106 0
114 148 115 0
122 148 123 0
129 148 130 0
135 148 136 0
140 148 141 0
144 148 145 0
1 32 16 0
2 47 16 0
18 47 32 0
3 61 16 0
19 61 32 0
34 61 47 0
4 74 16 0
20 74 32 0
35 74 47 0
49 74 61 0
5 86 16 0
21 86 32 0
36 86 47 0
50 86 61 0
63 86 74 0
6 97 16 0
22 97 32 0
37 97 47 0
51 97 61 0
64 97 74 0
76 97 86 0
7 107 16 0
23 107 32 0
38 107 47 0
52 107 61 0
65 107 74 0
77 107 86 0
88 107 97 0
8 116 16 0
24 116 32 0
39 116 47 0
53 116 61 0
66 116 74 0
78 116 86 0
89 116 97 0
99 116 107 0
9 124 16 0
25 124 32 0
40 124 47 0
54 124 61 0
67 124 74 0
79 124 86 0
90 124 97 0
100 124 107 0
109 124 116 0
10 131 16 0
26 131 32 0
41 131 47 0
55 131 61 0
68 131 74 0
80 131 86 0
91 131 97 0
101 131 107 0
110 131 116 0
118 131 124 0
11 137 16 0
27 137 32 0
42 137 47 0
56 137 61 0
69 137 74 0
81 137 86 0
92 137 97 0
102 137 107 0
111 137 116 0
119 137 124 0
126 137 131 0
12 142 16 0
28 142 32 0
43 142 47 0
57 142 61 0
70 142 74 0
82 142 86 0
93 142 97 0
103 142 107 0
112 142 116 0
120 142 124 0
127 142 131 0
133 142 137 0
13 146 16 0
29 146 32 0
44 146 47 0
58 146 61 0
71 146 74 0
83 146 86 0
94 146 97 0
104 146 107 0
113 146 116 0
121 146 124 0
128 146 131 0
134 146 137 0
139 146 142 0
14 149 16 0
30 149 32 0
45 149 47 0
59 149 61 0
72 149 74 0
84 149 86 0
95 149 97 0
105 149 107 0
114 149 116 0
122 149 124 0
129 149 131 0
135 149 137 0
140 149 142 0
144 149 146 0
15 151 16 0
31 151 32 0
46 151 47 0
60 151 61 0
73 151 74 0
85 151 86 0
96 151 97 0
106 151 107 0
115 151 116 0
123 151 124 0
130 151 131 0
136 151 137 0
141 151 142 0
145 151 146 0
148 151 149 0
1 33 17 0
2 48 17 0
18 48 33 0
3 62 17 0
19 62 33 0
34 62 48 0
4 75 17 0
20 75 33 0
35 75 48 0
49 75 62 0
5 87 17 0
21 87 33 0
36 87 48 0
50 87 62 0
63 87 75 0
6 98 17 0
22 98 33 0
37 98 48 0
51 98 62 0
64 98 75 0
76 98 87 0
7 108 17 0
23 108 33 0
38 108 48 0
52 108 62 0
65 108 75 0
77 108 87 0
88 108 98 0
8 117 17 0
24 117 33 0
39 117 48 0
53 117 62 0
66 117 75 0
78 117 87 0
89 117 98 0
99 117 108 0
9 125 17 0
25 125 33 0
40 125 48 0
54 125 62 0
67 125 75 0
79 125 87 0
90 125 98 0
100 125 108 0
109 125 117 0
10 132 17 0
26 132 33 0
41 132 48 0
55 132 62 0
68 132 75 0
80 132 87 0
91 132 98 0
101 132 108 0
110 132 117 0
118 132 125 0
11 138 17 0
27 138 33 0
42 138 48 0
56 138 62 0
69 138 75 0
81 138 87 0
92 138 98 0
102 138 108 0
111 138 117 0
119 138 125 0
126 138 132 0
12 143 17 0
28 143 33 0
43 143 48 0
57 143 62 0
70 143 75 0
82 143 87 0
93 143 98 0
103 143 108 0
112 143 117 0
120 143 125 0
127 143 132 0
133 143 138 0
13 147 17 0
29 147 33 0
44 147 48 0
58 147 62 0
71 147 75 0
83 147 87 0
94 147 98 0
104 147 108 0
113 147 117 0
121 147 125 0
128 147 132 0
134 147 138 0
139 147 143 0
14 150 17 0
30 150 33 0
45 150 48 0
59 150 62 0
72 150 75 0
84 150 87 0
95 150 98 0
105 150 108 0
114 150 117 0
122 150 125 0
129 150 132 0
135 150 138 0
140 150 143 0
144 150 147 0
15 152 17 0
31 152 33 0
46 152 48 0
60 152 62 0
73 152 75 0
85 152 87 0
96 152 98 0
106 152 108 0
115 152 117 0
123 152 125 0
130 152 132 0
136 152 138 0
141 152 143 0
145 152 147 0
148 152 150 0
16 153 17 0
32 153 33 0
47 153 48 0
61 153 62 0
74 153 75 0
86 153 87 0
97 153 98 0
107 153 108 0
116 153 117 0
124 153 125 0
131 153 132 0
137 153 138 0
142 153 143 0
146 153 147 0
149 153 150 0
151 153 152 0
-1 -18 -34 -49 -63 -5 0
-1 -18 -34 -49 -64 -6 0
-1 -18 -34 -50 -76 -6 0
-1 -18 -35 -63 -76 -6 0
-1 -19 -49 -63 -76 -6 0
-2 -34 -49 -63 -76 -6 0
-18 -34 -49 -63 -76 -22 0
-1 -18 -34 -49 -65 -7 0
-1 -18 -34 -50 -77 -7 0
-1 -18 -35 -63 -77 -7 0
-1 -19 -49 -63 -77 -7 0
-2 -34 -49 -63 -77 -7 0
-18 -34 -49 -63 -77 -23 0
-1 -18 -34 -51 -88 -7 0
-1 -18 -35 -64 -88 -7 0
-1 -19 -49 -64 -88 -7 0
-2 -34 -49 -64 -88 -7 0
-18 -34 -49 -64 -88 -23 0
-1 -18 -36 -76 -88 -7 0
-1 -19 -50 -76 -88 -7 0
-2 -34 -50 -76 -88 -7 0
-18 -34 -50 -76 -88 -23 0
-1 -20 -63 -76 -88 -7 0
-2 -35 -63 -76 -88 -7 0
-18 -35 -63 -76 -88 -23 0
-3 -49 -63 -76 -88 -7 0
-19 -49 -63 -76 -88 -23 0
-34 -49 -63 -76 -88 -38 0
-1 -18 -34 -49 -66 -8 0
-1 -18 -34 -50 -78 -8 0
-1 -18 -35 -63 -78 -8 0
-1 -19 -49 -63 -78 -8 0
-2 -34 -49 -63 -78 -8 0
-18 -34 -49 -63 -78 -24 0
-1 -18 -34 -51 -89 -8 0
-1 -18 -35 -64 -89 -8 0
-1 -19 -49 -64 -89 -8 0
-2 -34 -49 -64 -89 -8 0
-18 -34 -49 -64 -89 -24 0
-1 -18 -36 -76 -89 -8 0
-1 -19 -50 -76 -89 -8 0
-2 -34 -50 -76 -89 -8 0
-18 -34 -50 -76 -89 -24 0
-1 -20 -63 -76 -89 -8 0
-2 -35 -63 -76 -89 -8 0
-18 -35 -63 -76 -89 -24 0
-3 -49 -63 -76 -89 -8 0
-19 -49 -63 -76 -89 -24 0
-34 -49 -63 -76 -89 -39 0
-1 -18 -34 -52 -99 -8 0
-1 -18 -35 -65 -99 -8 0
-1 -19 -49 -65 -99 -8 0
-2 -34 -49 -65 -99 -8 0
-18 -34 -49 -65 -99 -24 0
-1 -18 -36 -77 -99 -8 0
-1 -19 -50 -77 -99 -8 0
-2 -34 -50 -77 -99 -8 0
-18 -34 -50 -77 -99 -24 0
-1 -20 -63 -77 -99 -8 0
-2 -35 -63 -77 -99 -8 0
-18 -35 -63 -77 -99 -24 0
-3 -49 -63 -77 -99 -8 0
-19 -49 -63 -77 -99 -24 0
-34 -49 -63 -77 -99 -39 0
-1 -18 -37 -88 -99 -8 0
-1 -19 -51 -88 -99 -8 0
-2 -34 -51 -88 -99 -8 0
-18 -34 -51 -88 -99 -24 0
-1 -20 -64 -88 -99 -8 0
-2 -35 -64 -88 -99 -8 0
-18 -35 -64 -88 -99 -24 0
-3 -49 -64 -88 -99 -8 0
-19 -49 -64 -88 -99 -24 0
-34 -49 -64 -88 -99 -39 0
-1 -21 -76 -88 -99 -8 0
-2 -36 -76 -88 -99 -8 0
-18 -36 -76 -88 -99 -24 0
-3 -50 -76 -88 -99 -8 0
-19 -50 -76 -88 -99 -24 0
-34 -50 -76 -88 -99 -39 0
-4 -63 -76 -88 -99 -8 0
-20 -63 -76 -88 -99 -24 0
-35 -63 -76 -88 -99 -39 0
-49 -63 -76 -88 -99 -53 0
-1 -18 -34 -49 -67 -9 0
-1 -18 -34 -50 -79 -9 0
-1 -18 -35 -63 -79 -9 0
-1 -19 -49 -63 -79 -9 0
-2 -34 -49 -63 -79 -9 0
-18 -34 -49 -63 -79 -25 0
-1 -18 -34 -51 -90 -9 0
-1 -18 -35 -64 -90 -9 0
-1 -19 -49 -64 -90 -9 0
-2 -34 -49 -64 -90 -9 0
-18 -34 -49 -64 -90 -25 0
-1 -18 -36 -76 -90 -9 0
-1 -19 -50 -76 -90 -9 0
-2 -34 -50 -76 -90 -9 0
-18 -34 -50 -76 -90 -25 0
-1 -20 -63 -76 -90 -9 0
-2 -35 -63 -76 -90 -9 0
-18 -35 -63 -76 -90 -25 0
-3 -49 -63 -76 -90 -9 0
-19 -49 -63 -76 -90 -25 0
-34 -49 -63 -76 -90 -40 0
-1 -18 -34 -52 -100 -9 0
-1 -18 -35 -65 -100 -9 0
-1 -19 -49 -65 -100 -9 0
-2 -34 -49 -65 -100 -9 0
-18 -34 -49 -65 -100 -25 0
-1 -18 -36 -77 -100 -9 0
-1 -19 -50 -77 -100 -9 0
-2 -34 -50 -77 -100 -9 0
-18 -34 -50 -77 -100 -25 0
-1 -20 -63 -77 -100 -9 0
-2 -35 -63 -77 -100 -9 0
-18 -35 -63 -77 -100 -25 0
-3 -49 -63 -77 -100 -9 0
-19 -49 -63 -77 -100 -25 0
-34 -49 -63 -77 -100 -40 0
-1 -18 -37 -88 -100 -9 0
-1 -19 -51 -88 -100 -9 0
-2 -34 -51 -88 -100 -9 0
-18 -34 -51 -88 -100 -25 0
-1 -20 -64 -88 -100 -9 0
-2 -35 -64 -88 -100 -9 0
-18 -35 -64 -88 -100 -25 0
-3 -49 -64 -88 -100 -9 0
-19 -49 -64 -88 -100 -25 0
-34 -49 -64 -88 -100 -40 0
-1 -21 -76 -88 -100 -9 0
-2 -36 -76 -88 -100 -9 0
-18 -36 -76 -88 -100 -25 0
-3 -50 -76 -88 -100 -9 0
-19 -50 -76 -88 -100 -25 0
-34 -50 -76 -88 -100 -40 0
-4 -63 -76 -88 -100 -9 0
-20 -63 -76 -88 -100 -25 0
-35 -63 -76 -88 -100 -40 0
-49 -63 -76 -88 -100 -54 0
-1 -18 -34 -53 -109 -9 0
-1 -18 -35 -66 -109 -9 0
-1 -19 -49 -66 -109 -9 0
-2 -34 -49 -66 -109 -9 0
-18 -34 -49 -66 -109 -25 0
-1 -18 -36 -78 -109 -9 0
-1 -19 -50 -78 -109 -9 0
-2 -34 -50 -78 -109 -9 0
-18 -34 -50 -78 -109 -25 0
-1 -20 -63 -78 -109 -9 0
-2 -35 -63 -78 -109 -9 0
-18 -35 -63 -78 -109 -25 0
-3 -49 -63 -78 -109 -9 0
-19 -49 -63 -78 -109 -25 0
-34 -49 -63 -78 -109 -40 0
-1 -18 -37 -89 -109 -9 0
-1 -19 -51 -89 -109 -9 0
-2 -34 -51 -89 -109 -9 0
-18 -34 -51 -89 -109 -25 0
-1 -20 -64 -89 -109 -9 0
-2 -35 -64 -89 -109 -9 0
-18 -35 -64 -89 -109 -25 0
-3 -49 -64 -89 -109 -9 0
-19 -49 -64 -89 -109 -25 0
-34 -49 -64 -89 -109 -40 0
-1 -21 -76 -89 -109 -9 0
-2 -36 -76 -89 -109 -9 0
-18 -36 -76 -89 -109 -25 0
-3 -50 -76 -89 -109 -9 0
-19 -50 -76 -89 -109 -25 0
-34 -50 -76 -89 -109 -40 0
-4 -63 -76 -89 -109 -9 0
-20 -63 -76 -89 -109 -25 0
-35 -63 -76 -89 -109 -40 0
-49 -63 -76 -89 -109 -54 0
-1 -18 -38 -99 -109 -9 0
-1 -19 -52 -99 -109 -9 0
-2 -34 -52 -99 -109 -9 0
-18 -34 -52 -99 -109 -25 0
-1 -20 -65 -99 -109 -9 0
-2 -35 -65 -99 -109 -9 0
-18 -35 -65 -99 -109 -25 0
-3 -49 -65 -99 -109 -9 0
-19 -49 -65 -99 -109 -25 0
-34 -49 -65 -99 -109 -40 0
-1 -21 -77 -99 -109 -9 0
-2 -36 -77 -99 -109 -9 0
-18 -36 -77 -99 -109 -25 0
-3 -50 -77 -99 -109 -9 0
-19 -50 -77 -99 -109 -25 0
-34 -50 -77 -99 -109 -40 0
-4 -63 -77 -99 -109 -9 0
-20 -63 -77 -99 -109 -25 0
-35 -63 -77 -99 -109 -40 0
-49 -63 -77 -99 -109 -54 0
-1 -22 -88 -99 -109 -9 0
-2 -37 -88 -99 -109 -9 0
-18 -37 -88 -99 -109 -25 0
-3 -51 -88 -99 -109 -9 0
-19 -51 -88 -99 -109 -25 0
-34 -51 -88 -99 -109 -40 0
-4 -64 -88 -99 -109 -9 0
-20 -64 -88 -99 -109 -25 0
-35 -64 -88 -99 -109 -40 0
-49 -64 -88 -99 -109 -54 0
-5 -76 -88 -99 -109 -9 0
-21 -76 -88 -99 -109 -25 0
-36 -76 -88 -99 -109 -40 0
-50 -76 -88 -99 -109 -54 0
-63 -76 -88 -99 -109 -67 0
-1 -18 -34 -49 -68 -10 0
-1 -18 -34 -50 -80 -10 0
-1 -18 -35 -63 -80 -10 0
-1 -19 -49 -63 -80 -10 0
-2 -34 -49 -63 -80 -10 0
-18 -34 -49 -63 -80 -26 0
-1 -18 -34 -51 -91 -10 0
-1 -18 -35 -64 -91 -10 0
-1 -19 -49 -64 -91 -10 0
-2 -34 -49 -64 -91 -10 0
-18 -34 -49 -64 -91 -26 0
-1 -18 -36 -76 -91 -10 0
-1 -19 -50 -76 -91 -10 0
-2 -34 -50 -76 -91 -10 0
-18 -34 -50 -76 -91 -26 0
-1 -20 -63 -76 -91 -10 0
-2 -35 -63 -76 -91 -10 0
-18 -35 -63 -76 -91 -26 0
-3 -49 -63 -76 -91 -10 0
-19 -49 -63 -76 -91 -26 0
-34 -49 -63 -76 -91 -41 0
-1 -18 -34 -52 -101 -10 0
-1 -18 -35 -65 -101 -10 0
-1 -19 -49 -65 -101 -10 0
-2 -34 -49 -65 -101 -10 0
-18 -34 -49 -65 -101 -26 0
-1 -18 -36 -77 -101 -10 0
-1 -19 -50 -77 -101 -10 0
-2 -34 -50 -77 -101 -10 0
-18 -34 -50 -77 -101 -26 0
-1 -20 -63 -77 -101 -10 0
-2 -35 -63 -77 -101 -10 0
-18 -35 -63 -77 -101 -26 0
-3 -49 -63 -77 -101 -10 0
-19 -49 -63 -77 -101 -26 0
-34 -49 -63 -77 -101 -41 0
-1 -18 -37 -88 -101 -10 0
-1 -19 -51 -88 -101 -10 0
-2 -34 -51 -88 -101 -10 0
-18 -34 -51 -88 -101 -26 0
-1 -20 -64 -88 -101 -10 0
-2 -35 -64 -88 -101 -10 0
-18 -35 -64 -88 -101 -26 0
-3 -49 -64 -88 -101 -10 0
-19 -49 -64 -88 -101 -26 0
-34 -49 -64 -88 -101 -41 0
-1 -21 -76 -88 -101 -10 0
-2 -36 -76 -88 -101 -10 0
-18 -36 -76 -88 -101 -26 0
-3 -50 -76 -88 -101 -10 0
-19 -50 -76 -88 -101 -26 0
-34 -50 -76 -88 -101 -41 0
-4 -63 -76 -88 -101 -10 0
-20 -63 -76 -88 -101 -26 0
-35 -63 -76 -88 -101 -41 0
-49 -63 -76 -88 -101 -55 0
-1 -18 -34 -53 -110 -10 0
-1 -18 -35 -66 -110 -10 0
-1 -19 -49 -66 -110 -10 0
-2 -34 -49 -66 -110 -10 0
-18 -34 -49 -66 -110 -26 0
-1 -18 -36 -78 -110 -10 0
-1 -19 -50 -78 -110 -10 0
-2 -34 -50 -78 -110 -10 0
-18 -34 -50 -78 -110 -26 0
-1 -20 -63 -78 -110 -10 0
-2 -35 -63 -78 -110 -10 0
-18 -35 -63 -78 -110 -26 0
-3 -49 -63 -78 -110 -10 0
-19 -49 -63 -78 -110 -26 0
-34 -49 -63 -78 -110 -41 0
-1 -18 -37 -89 -110 -10 0
-1 -19 -51 -89 -110 -10 0
-2 -34 -51 -89 -110 -10 0
-18 -34 -51 -89 -110 -26 0
-1 -20 -64 -89 -110 -10 0
-2 -35 -64 -89 -110 -10 0
-18 -35 -64 -89 -110 -26 0
-3 -49 -64 -89 -110 -10 0
-19 -49 -64 -89 -110 -26 0
-34 -49 -64 -89 -110 -41 0
-1 -21 -76 -89 -110 -10 0
-2 -36 -76 -89 -110 -10 0
-18 -36 -76 -89 -110 -26 0
-3 -50 -76 -89 -110 -10 0
-19 -50 -76 -89 -110 -26 0
-34 -50 -76 -89 -110 -41 0
-4 -63 -76 -89 -110 -10 0
-20 -63 -76 -89 -110 -26 0
-35 -63 -76 -89 -110 -41 0
-49 -63 -76 -89 -110 -55 0
-1 -18 -38 -99 -110 -10 0
-1 -19 -52 -99 -110 -10 0
-2 -34 -52 -99 -110 -10 0
-18 -34 -52 -99 -110 -26 0
-1 -20 -65 -99 -110 -10 0
-2 -35 -65 -99 -110 -10 0
-18 -35 -65 -99 -110 -26 0
-3 -49 -65 -99 -110 -10 0
-19 -49 -65 -99 -110 -26 0
-34 -49 -65 -99 -110 -41 0
-1 -21 -77 -99 -110 -10 0
-2 -36 -77 -99 -110 -10 0
-18 -36 -77 -99 -110 -26 0
-3 -50 -77 -99 -110 -10 0
-19 -50 -77 -99 -110 -26 0
-34 -50 -77 -99 -110 -41 0
-4 -63 -77 -99 -110 -10 0
-20 -63 -77 -99 -110 -26 0
-35 -63 -77 -99 -110 -41 0
-49 -63 -77 -99 -110 -55 0
-1 -22 -88 -99 -110 -10 0
-2 -37 -88 -99 -110 -10 0
-18 -37 -88 -99 -110 -26 0
-3 -51 -88 -99 -110 -10 0
-19 -51 -88 -99 -110 -26 0
-34 -51 -88 -99 -110 -41 0
-4 -64 -88 -99 -110 -10 0
-20 -64 -88 -99 -110 -26 0
-35 -64 -88 -99 -110 -41 0
-49 -64 -88 -99 -110 -55 0
-5 -76 -88 -99 -110 -10 0
-21 -76 -88 -99 -110 -26 0
-36 -76 -88 -99 -110 -41 0
-50 -76 -88 -99 -110 -55 0
-63 -76 -88 -99 -110 -68 0
-1 -18 -34 -54 -118 -10 0
-1 -18 -35 -67 -118 -10 0
-1 -19 -49 -67 -118 -10 0
-2 -34 -49 -67 -118 -10 0
-18 -34 -49 -67 -118 -26 0
-1 -18 -36 -79 -118 -10 0
-1 -19 -50 -79 -118 -10 0
-2 -34 -50 -79 -118 -10 0
-18 -34 -50 -79 -118 -26 0
-1 -20 -63 -79 -118 -10 0
-2 -35 -63 -79 -118 -10 0
-18 -35 -63 -79 -118 -26 0
-3 -49 -63 -79 -118 -10 0
-19 -49 -63 -79 -118 -26 0
-34 -49 -63 -79 -118 -41 0
-1 -18 -37 -90 -118 -10 0
-1 -19 -51 -90 -118 -10 0
-2 -34 -51 -90 -118 -10 0
-18 -34 -51 -90 -118 -26 0
-1 -20 -64 -90 -118 -10 0
-2 -35 -64 -90 -118 -10 0
-18 -35 -64 -90 -118 -26 0
-3 -49 -64 -90 -118 -10 0
-19 -49 -64 -90 -118 -26 0
-34 -49 -64 -90 -118 -41 0
-1 -21 -76 -90 -118 -10 0
-2 -36 -76 -90 -118 -10 0
-18 -36 -76 -90 -118 -26 0
-3 -50 -76 -90 -118 -10 0
-19 -50 -76 -90 -118 -26 0
-34 -50 -76 -90 -118 -41 0
-4 -63 -76 -90 -118 -10 0
-20 -63 -76 -90 -118 -26 0
-35 -63 -76 -90 -118 -41 0
-49 -63 -76 -90 -118 -55 0
-1 -18 -38 -100 -118 -10 0
